ID,Name,Category,SubCategory,Phase,Brand,Unit,LowestPrice,Description,SourcesCount
0MySRwpSKyhlpLuspVIA,دهان لاكيه للأخشاب,دهانات,لاكيه,فنش,GLC / Sayerlack,لتر,89,لاكيه زيتي أو أكريليك للأبواب والأثاث,2
3wBuVSySYwg2gaCPud6A,بديل رخام (ألواح PVC),ديكورات وتكسيات,بديل رخام,فنش,مستورد,لوح,100,لوح لامع 122*244 سم سمك 3 مم، مقاوم للماء والحرارة,2
G7f4nQxEt3t72qBgx4iY,لبادة (Underlay) باركيه فوم,أرضيات,إكسسوارات أرضيات,فنش,Masterfloor,متر مربع,301,عازل رطوبة وصوت 3 مم يوضع تحت الباركيه والـ HDF,2
IkXyGzz0g6DcrEamMyNV,موكيت غرف وقطيفة,أرضيات,موكيت,فنش,Mac / Tretford,متر مربع,442,موكيت غرف وزن 800 جم/م2,2
JHA1bavQYfEwPzyspR0U,أكياس ردم ومخلفات بولي بروبيلين,أدوات ومعدات التنفيذ,مستلزمات نظافة وحماية,تأسيس,محلية,كيس/100,100,مقاومة للتمزق، تحمل 50-100 كجم,2
NcVk8gBdVtlMCU1ZjOWW,معجون شروخ خارجي (Elastomeric),دهانات,معجون,تأسيس,Jotun Fillcoat,كجم,100,لسد شروخ الواجهات المرنة والمقاومة للماء,2
O1cBHRIqBCjCo7iqlHvG,بكرة تغليف حماية للأرضيات (رول فوم بولي ايثيلين),أدوات ومعدات التنفيذ,مستلزمات نظافة وحماية,فنش,Tyvek,متر مربع,232,حماية السيراميك والباركيه أثناء التشطيب,2
OqNJmPVDKtyLuUu3r91U,حجر كلادينج / بازلت واجهات,ديكورات وتكسيات,حجر ديكوري,فنش,Eldorado Stone,متر مربع,280,حجر ديكوري للواجهات والخارج,2
OuJUjH5gTewNb0b3n8xT,ورنيش بولي يوريثان للأرضيات (شفاف),دهانات,كيماويات وحماية,فنش,Bona Traffic,لتر,179,لحماية الباركيه والأرضيات الطبيعية من الخدش,2
QuxYFkXzUJ3pFiT92WTi,ميزان ليزر 3D تسوية ذاتية,أدوات ومعدات التنفيذ,أدوات يدوية وكهربائية,تأسيس,Bosch / Leica,قطعة,3371,ليزر أخضر للودع والبؤج وتركيب السيراميك,2
R9xLwAlvxKbL97Y4bYES,ورق حائط فينيل قابل للغسيل,ديكورات وتكسيات,ورق حائط,فنش,AS Creation / Graham&Brown,رول,1046,رول ورق حائط عرض 53 سم / طول 10 متر,2
T1NJGkuJgJUaf5poYkiI,دهان مضاد للحشرات والصراصير,دهانات,كيماويات وحماية,تأسيس,Killpest,لتر,140,يدهن خلف الدواليب والمطابخ وقواعد الحمام,2
aVVmWlRfYgrTmFOhCTTY,شريط تمدد (Expansion Joint) ألومنيوم,أرضيات,إكسسوارات أرضيات,فنش,Schlüter,متر طولي,100,بروفيل فواصل للبورسلين والسيراميك في المساحات الواسعة,2
ac_carrier_1.5,تكييف كاريير 1.5 حصان بارد فقط,تكييف,تكييفات,فنش,Carrier,جهاز,21500,,4
ac_fresh_1.5_inv,تكييف فريش 1.5 حصان إنفرتر بارد/ساخن,تكييف,تكييفات,فنش,Fresh,جهاز,26000,,4
ac_fresh_2.25_cool,تكييف فريش 2.25 حصان بارد فقط,تكييف,تكييفات,فنش,Fresh,جهاز,28500,,4
ac_lg_1.5_inv,تكييف LG 1.5 حصان دوال إنفرتر بارد,تكييف,تكييفات,فنش,LG,جهاز,32000,,4
ac_pipe_copper,مواسير نحاس جنوب إفريقي 5/8 و 1/4,تكييف,مواسير تأسيس,تأسيس,,متر,850,,4
alum_ps_jumbo,قطاع ألوميتال PS جامبو دبل جلاس,الألوميتال والزجاج,ألوميتال,فنش,,متر مربع,3500,,1
bld_block_hollow,طوب أسمنتي مفرغ 20×20×40,بناء,طوب أسمنتي,تأسيس,,ألف طوبة,2100,,1
bld_brick_red,طوب أحمر طفلي مفرغ مقاس 24×11×6,بناء,طوب أحمر,تأسيس,,ألف طوبة,1300,,1
bld_cement_suez,أسمنت السويس بورتلاندي 50 كجم,بناء,أسمنت,تأسيس,Suez Cement,طن,2150,,2
bld_cement_white,أسمنت أبيض سيناء 50 كجم,بناء,أسمنت,تأسيس,Sinai Cement,طن,3800,,1
bld_fiber_mesh,شبك فيبر جلاس للتشققات 50 متر,بناء,شبك فيبر,تأسيس,,لفة,250,,1
bld_gravel_sen1,زلط سن 1 للخرسانة,بناء,زلط وسن,تأسيس,,متر مكعب,280,,1
bld_gypsum,جبس سيناء البلاح,بناء,جبس طبيعي,تأسيس,Sinai Cement,شكارة,65,,1
bld_ready_mix_beton,خرسانة جاهزة (بيتون) إجهاد 300,بناء,بيتون,تأسيس,,متر مكعب,1400,,2
bld_rebar_beshay_16,حديد تسليح بشاي 16 مم,بناء,حديد تسليح,تأسيس,Beshay Steel,طن,37500,,1
bld_rebar_ezz_12,حديد تسليح عز 12 مم,بناء,حديد تسليح,تأسيس,Ezz Steel,طن,38000,,2
bld_sand_coarse,رمل خشن (حرش) للخرسانة,بناء,رمل خشن,تأسيس,,متر مكعب,180,,1
bld_sand_fine,رمل ناعم مباني,بناء,رمل ناعم,تأسيس,,متر مكعب,150,,1
bld_wood_latzana,خشب لاتزانة للشدات الخشبية,بناء,خشب مقاولات,تأسيس,,متر مكعب,12500,,1
cctv_camera_hikvision,كاميرا مراقبة خارجية 5 ميجا بكسل Hikvision,التيار الخفيف والأنظمة,كاميرات مراقبة,إكسسوارات,,قطعة,1100,,4
data_cable_cat6,لفة سلك إنترنت (Data) Cat 6 السويدي,التيار الخفيف والأنظمة,شبكات وإنترنت,تأسيس,Elsewedy,لفة (305م),2400,,4
door_mdf_room,باب غرفة خشب MDF جاهز بالقشرة,نجارة,أبواب وحلوق,فنش,,قطعة,3500,,2
door_steel_main,باب شقة مصفح تركي فئة أولى,نجارة,أبواب مصفحة,فنش,,قطعة,8500,,1
dummy_cement_1,أسمنت بورتلاندي 50 كجم,بناء,أسمنت,تأسيس,,شكارة,120,,2
dummy_wire_2,لفة سلك نحاس 3 مم السويدي,كهرباء,أسلاك نحاس,تأسيس,,لفة,1500,,2
elec_box_magic,علبة ماجيك بتشينو,كهرباء,علب تأسيس,تأسيس,Bticino,قطعة,12,,3
elec_breaker_16,قاطع تيار شنايدر 16 أمبير مفرد,كهرباء,قواطع,تأسيس,Schneider,قطعة,120,,3
elec_breaker_32,قاطع تيار شنايدر 32 أمبير مفرد,كهرباء,قواطع,تأسيس,Schneider,قطعة,140,,2
elec_cable_armored_16,كابل ألومنيوم مسلح 4x16 مم,التيار الخفيف والأنظمة,كابلات مسلحة,تأسيس,Elsewedy,متر,120,,1
elec_intercom_farfisa,جهاز إنتركم صوتي فرفيزا إيطالي (لوحة + سماعة),التيار الخفيف والأنظمة,إنتركم,فنش,Farfisa,طقم,1850,,1
elec_led_strip,شريط ليد بروفايل 120 لمبة/متر,كهرباء,كشافات وإضاءة,فنش,,متر,45,,3
elec_panel_12,لوحة توزيع فينوس 12 خط داخل الحائط,كهرباء,لوحات توزيع,تأسيس,Venus,قطعة,450,,2
elec_panel_18w,بانل ليد غاطس 18 وات مربع,كهرباء,كشافات وإضاءة,فنش,,قطعة,120,,3
elec_pipe_16,خرطوم كهرباء 16 مم سويدي,كهرباء,خراطيم,تأسيس,Elsewedy,لفة,280,,3
elec_pipe_20,خرطوم كهرباء 20 مم سويدي,كهرباء,خراطيم,تأسيس,Elsewedy,لفة,350,,3
elec_power_supply_10,باور سبلاي 10 أمبير,كهرباء,كشافات وإضاءة,فنش,,قطعة,180,,3
elec_rccb_63,قاطع حماية أرضي RCCB 63A 30mA,كهرباء,RCCB,تأسيس,,قطعة,1850,,2
elec_socket,بريزة كهرباء 16 أمبير فينوس,كهرباء,مفاتيح وفيش,فنش,Venus,قطعة,42,,2
elec_spot_7w,سبوت ليد 7 وات إضاءة وورم,كهرباء,كشافات وإضاءة,فنش,,قطعة,65,,3
elec_switch_1,مفتاح إنارة مفرد سانشي,كهرباء,مفاتيح وفيش,فنش,Sanchi,قطعة,35,,2
elec_voltage_protector,قاطع حماية تغيير الفولت (Over/Under Voltage Relay) 63A,كهرباء,حماية فولت,تأسيس,,قطعة,580,,3
elec_wire_1.5,لفة سلك نحاس 1.5 مم السويدي,كهرباء,أسلاك نحاس,تأسيس,Elsewedy,لفة (100م),850,,3
elec_wire_10,لفة سلك نحاس 10 مم السويدي,كهرباء,أسلاك نحاس,تأسيس,Elsewedy,لفة (100م),5200,,2
elec_wire_2,لفة سلك نحاس 2 مم السويدي,كهرباء,أسلاك نحاس,تأسيس,Elsewedy,لفة (100م),1100,,2
elec_wire_3,لفة سلك نحاس 3 مم السويدي,كهرباء,أسلاك نحاس,تأسيس,Elsewedy,لفة (100م),1550,,2
elec_wire_4,لفة سلك نحاس 4 مم السويدي,كهرباء,أسلاك نحاس,تأسيس,Elsewedy,لفة (100م),2050,,3
elec_wire_6,لفة سلك نحاس 6 مم السويدي,كهرباء,أسلاك نحاس,تأسيس,Elsewedy,لفة (100م),3100,,2
facade_qarmid,قرميد بلاستيك تركي معالج للأسقف والواجهات,الواجهات واللاند سكيب,حجر صناعي وطبيعي,فنش,,متر مربع,380,,1
fire_smoke_detector,حساس دخان للإنذار المبكر (Smoke Detector),التيار الخفيف والأنظمة,إنذار حريق,إكسسوارات,,قطعة,450,,4
flr_adhesive_setox,مادة لاصقة سيتوكس U,بناء,لاصق بلاط,فنش,,شكارة,125,,1
flr_cer_cleo,سيراميك كليوباترا أرضيات 60x60 فرز أول,أرضيات,سيراميك,فنش,Cleopatra,متر مربع,185,,4
flr_hdf_kronotex,باركيه HDF كرونوتكس 8 مم ألماني,أرضيات,HDF/MDF,فنش,,متر مربع,480,,4
